,Title,Link,Published,Summary,Content,Source,Keyword,Entities,Text,Topic,Probability,Predicted_Risks,Weights,Source_bias,University Label,Published_raw,Days_Ago,Time_Window,Acceleration,Recency,Source_Accuracy,Impact_Score,Acceleration_value,Location,Detected_Risks,Industry_Risk,Frequency_Score,Risk_Score,Predicted_Risks_new
0,US Education Department to revive student loan interest for borrowers in SAVE program,https://lailluminator.com/2025/07/09/repub/student-loan-interest/,2025-07-09 21:03:34+00:00,"WASHINGTON — Interest accrual on the debt of nearly 7.7 million student loan borrowers enrolled in the Saving on a Valuable Education plan will resume Aug. 1, the U.S. Education Department said Wednesday. The Biden-era income-driven repayment plan better known as SAVE saw legal challenges from several GOP-led states beginning in 2024, creating uncertainty for [&#8230;]","WASHINGTON — Interest accrual on the debt of nearly 7.7 million student loan borrowers enrolled in the Saving on a Valuable Education plan will resume Aug. 1, the U.S. Education Department said Wednesday. The Biden-era income-driven repayment plan better known as SAVE saw legal challenges from several GOP-led states beginning in 2024, creating uncertainty for [&#8230;]",LA Illuminator,[],"['WASHINGTON', 'the U.S. Education Department', 'Biden', 'SAVE', 'GOP']","US Education Department to revive student loan interest for borrowers in SAVE program. WASHINGTON — Interest accrual on the debt of nearly 7.7 million student loan borrowers enrolled in the Saving on a Valuable Education plan will resume Aug. 1, the U.S. Education Department said Wednesday. The Biden-era income-driven repayment plan better known as SAVE saw legal challenges from several GOP-led states beginning in 2024, creating uncertainty for [&#8230;]",49.0,0.3425403645054203,no risk,0.0,left lean,1.0,"Wed, 09 Jul 2025 21:03:34 +0000",14.0,recent,35.0,5.0,3.5,0.0,5.0,0.0,,0.0,5.0,0.355,No Risk
1,Immigration Officials Used Shadowy Pro-Israel Group to Target Student Activists,https://www.nytimes.com/2025/07/09/us/politics/ice-canary-mission-student-deportations.html,2025-07-10 01:05:56+00:00,A senior Homeland Security official testified in court on Wednesday that his department had relied in part on an anonymously compiled list to identify foreign academics for investigation.,A senior Homeland Security official testified in court on Wednesday that his department had relied in part on an anonymously compiled list to identify foreign academics for investigation.,NY Times,[],['Homeland Security'],Immigration Officials Used Shadowy Pro-Israel Group to Target Student Activists. A senior Homeland Security official testified in court on Wednesday that his department had relied in part on an anonymously compiled list to identify foreign academics for investigation.,-1.0,0.0,failure to comply with or change in legal or regulatory requirements,3.333333333333333,left lean,1.0,"Thu, 10 Jul 2025 01:05:56 +0000",14.0,recent,,5.0,5.0,0.0,5.0,0.0,,0.0,5.0,0.4,No Risk
2,Trump Administration Renews Attacks On Harvard With Negotiations Uncertain,https://www.nytimes.com/2025/07/09/us/politics/trump-harvard-data-accreditation.html,2025-07-09 17:16:33+00:00,"The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.","The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",NY Times,"['international students', 'department of homeland security']","['The Department of Homeland Security', 'Harvard']","Trump Administration Renews Attacks On Harvard With Negotiations Uncertain. The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",68.0,1.0,"attract & retain, recruiting research talent and key person dependence in higher education",2.333333333333333,left lean,1.0,"Wed, 09 Jul 2025 17:16:33 +0000",15.0,recent,,5.0,5.0,0.0,5.0,0.0,,0.0,5.0,0.4,Academic Disruption; Student Conduct Incident; Faculty conflict
3,Trump Administration Renews Attacks On Harvard With Negotiations Uncertain,https://www.nytimes.com/2025/07/09/us/politics/trump-harvard-data-accreditation.html,2025-07-09 17:16:33+00:00,"The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.","The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",NY Times,"['international students', 'department of homeland security']","['The Department of Homeland Security', 'Harvard']","Trump Administration Renews Attacks On Harvard With Negotiations Uncertain. The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",68.0,1.0,"attract & retain, recruiting research talent and key person dependence in higher education",2.333333333333333,left lean,1.0,"Wed, 09 Jul 2025 17:16:33 +0000",15.0,recent,,5.0,5.0,0.0,5.0,0.0,Climate Change,5.0,5.0,0.6,Academic Disruption; Student Conduct Incident; Faculty conflict
4,Trump Administration Renews Attacks On Harvard With Negotiations Uncertain,https://www.nytimes.com/2025/07/09/us/politics/trump-harvard-data-accreditation.html,2025-07-09 17:16:33+00:00,"The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.","The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",NY Times,"['international students', 'department of homeland security']","['The Department of Homeland Security', 'Harvard']","Trump Administration Renews Attacks On Harvard With Negotiations Uncertain. The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",68.0,1.0,"attract & retain, recruiting research talent and key person dependence in higher education",2.333333333333333,left lean,1.0,"Wed, 09 Jul 2025 17:16:33 +0000",15.0,recent,,5.0,5.0,0.0,5.0,0.0,,0.0,5.0,0.4,Academic Disruption; Student Conduct Incident; Faculty conflict
5,Trump Administration Renews Attacks On Harvard With Negotiations Uncertain,https://www.nytimes.com/2025/07/09/us/politics/trump-harvard-data-accreditation.html,2025-07-09 17:16:33+00:00,"The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.","The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",NY Times,"['international students', 'department of homeland security']","['The Department of Homeland Security', 'Harvard']","Trump Administration Renews Attacks On Harvard With Negotiations Uncertain. The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",68.0,1.0,higher education brand and reputation,3.333333333333333,left lean,1.0,"Wed, 09 Jul 2025 17:16:33 +0000",15.0,recent,,5.0,5.0,0.0,5.0,0.0,,0.0,5.0,0.4,Academic Disruption; Student Conduct Incident; Faculty conflict
6,Trump Administration Renews Attacks On Harvard With Negotiations Uncertain,https://www.nytimes.com/2025/07/09/us/politics/trump-harvard-data-accreditation.html,2025-07-09 17:16:33+00:00,"The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.","The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",NY Times,"['international students', 'department of homeland security']","['The Department of Homeland Security', 'Harvard']","Trump Administration Renews Attacks On Harvard With Negotiations Uncertain. The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",68.0,1.0,higher education brand and reputation,3.333333333333333,left lean,1.0,"Wed, 09 Jul 2025 17:16:33 +0000",15.0,recent,,5.0,5.0,0.0,5.0,0.0,,0.0,4.0,0.386,Academic Disruption; Student Conduct Incident; Faculty conflict
7,Trump Administration Renews Attacks On Harvard With Negotiations Uncertain,https://www.nytimes.com/2025/07/09/us/politics/trump-harvard-data-accreditation.html,2025-07-09 17:16:33+00:00,"The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.","The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",NY Times,"['international students', 'department of homeland security']","['The Department of Homeland Security', 'Harvard']","Trump Administration Renews Attacks On Harvard With Negotiations Uncertain. The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",68.0,1.0,higher education brand and reputation,3.333333333333333,left lean,1.0,"Wed, 09 Jul 2025 17:16:33 +0000",15.0,recent,,5.0,5.0,0.0,5.0,0.0,,0.0,5.0,0.4,Academic Disruption; Student Conduct Incident; Faculty conflict
8,Trump Administration Renews Attacks On Harvard With Negotiations Uncertain,https://www.nytimes.com/2025/07/09/us/politics/trump-harvard-data-accreditation.html,2025-07-09 17:16:33+00:00,"The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.","The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",NY Times,"['international students', 'department of homeland security']","['The Department of Homeland Security', 'Harvard']","Trump Administration Renews Attacks On Harvard With Negotiations Uncertain. The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",68.0,1.0,threats to research and higher education funding from heightened regulatory change and scrutiny,4.000000000000001,left lean,1.0,"Wed, 09 Jul 2025 17:16:33 +0000",15.0,recent,,5.0,5.0,0.0,5.0,0.0,AI Risk,5.0,5.0,0.6,Academic Disruption; Student Conduct Incident; Faculty conflict
9,Trump Administration Renews Attacks On Harvard With Negotiations Uncertain,https://www.nytimes.com/2025/07/09/us/politics/trump-harvard-data-accreditation.html,2025-07-09 17:16:33+00:00,"The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.","The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",NY Times,"['international students', 'department of homeland security']","['The Department of Homeland Security', 'Harvard']","Trump Administration Renews Attacks On Harvard With Negotiations Uncertain. The Department of Homeland Security issued administrative subpoenas seeking data about the university’s international students, while two federal agencies challenged Harvard’s accreditation.",68.0,1.0,threats to research and higher education funding from heightened regulatory change and scrutiny,4.000000000000001,left lean,1.0,"Wed, 09 Jul 2025 17:16:33 +0000",15.0,recent,,5.0,3.0,0.0,5.0,0.0,"Climate Change, Title IX, Facilities",5.0,5.0,0.54,Academic Disruption; Student Conduct Incident; Faculty conflict
