week,Topic_Name,article_count
2019-06-25,Unlabeled Topic,1
2023-06-13,Unlabeled Topic,1
2024-09-17,Unlabeled Topic,1
2024-09-24,Unlabeled Topic,1
2024-10-08,Unlabeled Topic,1
2025-01-07,Unlabeled Topic,1
2025-05-06,Unlabeled Topic,1
2025-05-20,Unlabeled Topic,6
2025-05-27,Unlabeled Topic,3
2025-06-03,Unlabeled Topic,3
2025-06-10,Unlabeled Topic,2
2025-06-17,Unlabeled Topic,8
2025-06-24,Unlabeled Topic,38
2025-07-01,Unlabeled Topic,43
2025-07-08,Unlabeled Topic,106
2025-07-15,Unlabeled Topic,10
2025-09-02,Unlabeled Topic,1
2025-09-16,Unlabeled Topic,15
2025-09-23,Unlabeled Topic,148
2025-09-30,Unlabeled Topic,286
2025-10-07,Unlabeled Topic,137
2025-10-14,Unlabeled Topic,52
2025-10-21,Unlabeled Topic,90
2025-10-28,Unlabeled Topic,99
2025-11-04,Unlabeled Topic,184
2025-11-11,Unlabeled Topic,138
2025-11-18,Unlabeled Topic,50
2025-11-25,Unlabeled Topic,26
2025-12-02,Unlabeled Topic,68
2025-12-09,Unlabeled Topic,75
2025-12-16,Unlabeled Topic,89
2025-12-23,Unlabeled Topic,42
2025-12-30,Unlabeled Topic,20
2026-01-06,Unlabeled Topic,31
2026-01-13,Unlabeled Topic,64
2026-01-20,Unlabeled Topic,63
2026-01-27,Unlabeled Topic,92
2026-02-03,Unlabeled Topic,68
2026-02-10,Unlabeled Topic,52
2026-02-17,Unlabeled Topic,40
2026-02-24,Unlabeled Topic,38
2026-03-03,Unlabeled Topic,34
2026-03-10,Unlabeled Topic,14
2026-03-17,Unlabeled Topic,11
2026-03-24,Unlabeled Topic,3
2026-03-31,Unlabeled Topic,22
2026-04-07,Unlabeled Topic,41
2026-04-14,Unlabeled Topic,18
2026-04-21,Unlabeled Topic,40
2026-04-28,Unlabeled Topic,45
2026-05-05,Unlabeled Topic,81
